Ano,UF,Partido,C,NECr,K,Massa de recursos %,Amplitude %,Distância relativa no corte %,Fronteira válida,Empate na fronteira,Candidatos com peso fracionário
2018,ES,PRB,10,3.525709164335661,4,91.6012473407945,40.0,54.460513340083224,True,False,0
2018,ES,PROS,3,1.0245267943648109,1,98.78833713423897,33.33333333333333,98.77347579591854,True,False,0
2018,ES,PRP,3,2.5350114680334537,3,100.0,100.0,,False,False,0
2018,ES,PRTB,6,2.0,2,100.0,33.33333333333333,100.0,True,False,0
2018,ES,PSB,10,2.929955536478366,3,78.70317793501216,30.0,40.0,True,False,0
2018,ES,PSC,1,1.0,1,100.0,100.0,,False,False,0
2018,ES,PSD,2,1.5895952023180746,2,100.0,100.0,,False,False,0
2018,ES,PSDB,3,1.0685305127620035,1,96.70824514792633,33.33333333333333,97.66716334512945,True,False,0
2018,ES,PSL,7,1.1717220965184065,1,92.28009488406713,14.285714285714285,96.51427847394415,True,False,0
2018,ES,PSOL,7,6.800004164200668,7,100.0,100.0,,False,False,0
2018,ES,PT,15,2.5892391628966362,3,86.1084979617435,20.0,0.0,True,True,2
2018,ES,PTB,13,3.4008228937688476,3,69.36404370725572,23.076923076923077,3.9538461538461536,True,False,0
2018,ES,PTC,1,1.0,1,100.0,100.0,,False,False,0
2018,ES,PV,5,4.382984334650655,4,87.61894476909039,80.0,20.032441310920774,True,False,0
2018,ES,REDE,6,1.0084209033413258,1,99.58071278825996,16.666666666666664,99.57894736842105,True,False,0
2018,ES,SOLIDARIEDADE,2,1.0480491579847073,1,97.65258215962442,50.0,97.59615384615384,True,False,0
2018,GO,AVANTE,6,,0,,0.0,,False,False,0
2018,GO,DC,12,1.7663041395334493,2,80.6655866886579,16.666666666666664,20.72892938496583,True,False,0
2018,GO,DEM,6,3.4072984008831133,3,92.90357931438464,50.0,85.59191641957635,True,False,0
2018,GO,MDB,14,1.811223441345992,2,92.899800928998,14.285714285714285,80.0,True,False,0
2018,GO,NOVO,6,4.591900645271427,5,89.11179440037404,83.33333333333334,0.0,True,True,4
2018,GO,PATRI,8,,0,,0.0,,False,False,0
