Ano,Partido,Indicador,N válido,Indefinidos,Média,Desvio-padrão,Mínimo,P25,Mediana,P75,Máximo
2022,REPUBLICANOS,Competitivos na lista (%),27,0,25.66606713241089,13.879129214331417,6.25,12.771739130434781,22.22222222222222,33.333333333333336,53.84615384615385
2022,REPUBLICANOS,Bancada pré-eleitoral (Mp),27,0,1.5925925925925926,1.8241807277885949,0.0,1.0,1.0,2.0,9.0
2022,REPUBLICANOS,Eleitos (E),27,0,1.4814814814814814,1.4242506901841503,0.0,0.0,1.0,3.0,5.0
2022,REPUBLICANOS,NECr,27,0,7.768154893885434,3.9084420181724964,1.6331977082199467,5.46772928927395,7.008812396821059,9.66648549640999,19.187239077710334
2022,REPUBLICANOS,D = C − NECr,27,0,11.08369695796642,13.009899794170641,1.5617595537435447,3.522051389380846,5.494892457756578,12.742297611885885,48.81276092228967
2022,REPUBLICANOS,Q = C / NECr,27,0,2.4152614573760007,1.3522759578845822,1.2099635747227764,1.5745073336385618,2.0029180840519354,2.7231384619351715,6.735253144574339
2022,REPUBLICANOS,NECr / Mp (Mp > 0),21,6,4.766894298307065,2.7573443042347634,1.6331977082199467,3.152442317019726,3.5747260727708756,5.644198886175106,13.629380883446684
2022,REPUBLICANOS,NECr / E (E > 0),17,10,4.295731009891887,2.754147820523315,1.738040450194346,2.3831507151805837,3.837447815542067,4.838228506211375,11.882207068008283
2022,REPUBLICANOS,NECr − E,27,0,6.286673412403952,3.442798720291288,1.476080900388692,4.079132271181406,5.644198886175106,8.16648549640999,14.187239077710334
2022,REPUBLICANOS,Cobertura Top-NECr por lista (%),17,10,100.0,0.0,100.0,100.0,100.0,100.0,100.0
2022,REPUBLICANOS,Precisão Top-NECr por lista (%),27,0,20.175129180977134,20.66961568712183,0.0,0.0,20.0,33.333333333333336,66.66666666666667
2022,SOLIDARIEDADE,Candidatos (C),24,0,15.541666666666666,13.80604519976561,4.0,7.0,9.5,19.0,54.0
2022,SOLIDARIEDADE,Competitivos (F),24,0,1.2916666666666667,1.5457984194658723,0.0,0.0,1.0,3.0,5.0
2022,SOLIDARIEDADE,Competitivos na lista (%),24,0,8.79552972638079,10.654083453935012,0.0,0.0,5.969267139479905,14.880952380952381,38.46153846153846
2022,SOLIDARIEDADE,Bancada pré-eleitoral (Mp),24,0,0.3333333333333333,0.48154341234307685,0.0,0.0,0.0,1.0,1.0
