ano,uf,partido,C,total,NECr,k,E,F,hE,hF,esperado_E,esperado_F,empate,recebedores
2018,CE,PP,3,3416037.5,1.8673689498124657,2,1,2,1.0,1.0,0.6666666666666666,1.3333333333333333,False,3
2018,CE,PPL,2,0.0,,0,0,0,0.0,0.0,0.0,0.0,False,0
2018,CE,PPS,5,654064.05,1.247117644876788,1,0,1,0.0,1.0,0.0,0.2,False,5
2018,CE,PR,4,4126666.67,1.9686320127447727,2,1,2,1.0,2.0,0.5,1.0,False,4
2018,CE,PRB,1,1119020.0,1.0,1,0,1,0.0,1.0,0.0,1.0,False,1
2018,CE,PROS,30,2295818.7199999997,5.719352282766164,6,2,5,2.0,2.0,0.4,1.0,False,30
2018,CE,PRP,1,215.0,1.0,1,0,0,0.0,0.0,0.0,0.0,False,1
2018,CE,PRTB,5,49976.25,3.569244637695571,4,0,1,0.0,1.0,0.0,0.8,False,5
2018,CE,PSB,3,1810000.0,1.7593577144084633,2,1,1,1.0,1.0,0.6666666666666666,0.6666666666666666,False,3
2018,CE,PSC,1,1272500.0,1.0,1,0,0,0.0,0.0,0.0,0.0,False,1
2018,CE,PSD,5,1464939.8,1.9756965538472115,2,1,2,1.0,2.0,0.4,0.8,False,4
2018,CE,PSDB,13,3380620.35,3.9441375771508183,4,1,4,1.0,3.0,0.3076923076923077,1.2307692307692308,False,11
2018,CE,PSL,21,50000.0,1.0,1,1,0,1.0,0.0,0.047619047619047616,0.0,False,1
2018,CE,PSOL,23,241072.21000000005,5.846991011512567,6,0,0,0.0,0.0,0.0,0.0,True,23
2018,CE,PSTU,1,0.0,,0,0,0,0.0,0.0,0.0,0.0,False,0
2018,CE,PT,12,3944432.5999999996,4.569792451040216,5,3,4,3.0,4.0,1.25,1.6666666666666667,False,12
2018,CE,PTB,2,295000.0,1.653681710213777,2,1,0,1.0,0.0,1.0,0.0,False,2
2018,CE,PV,2,679688.01,1.031676969497813,1,1,1,1.0,1.0,0.5,0.5,False,2
2018,CE,REDE,15,23440.0,13.465453689906678,13,0,0,0.0,0.0,0.0,0.0,False,14
2018,CE,SOLIDARIEDADE,2,890000.0,1.5347800813795778,2,1,2,1.0,2.0,1.0,2.0,False,2
2018,DF,AVANTE,8,126989.17000000001,6.720373540372146,7,0,0,0.0,0.0,0.0,0.0,False,8
2018,DF,DC,10,27961.5,9.929373971578451,10,0,0,0.0,0.0,0.0,0.0,False,10
2018,DF,DEM,3,855000.0,1.0,1,1,0,0.0,0.0,0.3333333333333333,0.0,False,1
2018,DF,MDB,3,2578885.08,1.3637565986407543,1,0,2,0.0,1.0,0.0,0.6666666666666666,False,3
2018,DF,NOVO,6,9404.96,4.473596548192738,4,0,0,0.0,0.0,0.0,0.0,True,6
2018,DF,PATRI,1,40000.0,1.0,1,0,1,0.0,1.0,0.0,1.0,False,1
2018,DF,PC DO B,2,74760.0,1.1732012610744522,1,0,0,0.0,0.0,0.0,0.0,False,2
2018,DF,PCB,1,10101.11,1.0,1,0,0,0.0,0.0,0.0,0.0,False,1
2018,DF,PDT,4,25700.0,2.338100463733229,2,0,0,0.0,0.0,0.0,0.0,False,3
2018,DF,PHS,3,297721.36,2.2889827408019205,2,0,1,0.0,1.0,0.0,0.6666666666666666,False,3
2018,DF,PMB,1,27000.0,1.0,1,0,0,0.0,0.0,0.0,0.0,False,1
2018,DF,PMN,5,150000.0,1.0,1,0,1,0.0,1.0,0.0,0.2,False,1
2018,DF,PODE,1,750553.6,1.0,1,0,1,0.0,1.0,0.0,1.0,False,1
2018,DF,PP,2,3318490.0,1.8282762174659832,2,1,2,1.0,2.0,1.0,2.0,False,2
2018,DF,PPL,13,115814.73,6.050131102092195,6,0,0,0.0,0.0,0.0,0.0,False,10
2018,DF,PPS,4,133040.0,1.6959479705588199,2,1,0,1.0,0.0,0.5,0.0,False,4
2018,DF,PR,5,4885150.0,2.2014613098550235,2,1,1,1.0,1.0,0.4,0.4,False,5
2018,DF,PRB,3,930951.7199999999,1.1823617364982388,1,1,1,1.0,1.0,0.3333333333333333,0.3333333333333333,False,3
2018,DF,PROS,7,3422291.4800000004,3.452996120917203,3,0,2,0.0,1.0,0.0,0.8571428571428571,False,7
2018,DF,PRP,9,126536.87999999999,1.802135160778948,2,1,0,1.0,0.0,0.2222222222222222,0.0,False,5
2018,DF,PRTB,5,29750.0,4.02644299118567,4,0,0,0.0,0.0,0.0,0.0,False,5
2018,DF,PSB,2,1349725.6400000001,1.8741730581001421,2,0,1,0.0,1.0,0.0,1.0,False,2
2018,DF,PSC,4,466042.23000000004,3.4901482125620324,3,0,0,0.0,0.0,0.0,0.0,False,4
2018,DF,PSD,1,436278.52,1.0,1,0,0,0.0,0.0,0.0,0.0,False,1
2018,DF,PSDB,8,571920.35,4.654616118909267,5,0,1,0.0,0.0,0.0,0.625,False,8
2018,DF,PSL,3,14649.5,2.3270841297010096,2,0,0,0.0,0.0,0.0,0.0,False,3
2018,DF,PSOL,15,279507.33999999997,6.373153765141243,6,0,1,0.0,1.0,0.0,0.4,False,15
2018,DF,PSTU,1,2487.9300000000003,1.0,1,0,0,0.0,0.0,0.0,0.0,False,1
2018,DF,PT,16,2116882.35,3.3194971682866967,3,1,1,1.0,1.0,0.1875,0.1875,False,16
